CODGEO;Population_en_2021;Pop_0_14_ans_en_2021;Pop_15_29_ans_en_2021;Pop_30_44_ans_en_2021;Pop_45_59_ans_en_2021;Pop_60_74_ans_en_2021;Pop_75_89_ans_en_2021;Pop_90_ans_ou_plus_en_2021;Pop_Hommes_en_2021;Pop_Femmes_en_2021;Pop_15_ans_ou_plus_Retraités_en_2021;Population_en_2015;Pop_0_14_ans_en_2015;Pop_15_29_ans_en_2015;Pop_30_44_ans_en_2015;Pop_45_59_ans_en_2015;Pop_60_74_ans_en_2015;Pop_75_89_ans_en_2015;Pop_90_ans_ou_plus_en_2015;Pop_Hommes_en_2015;Pop_Femmes_en_2015;Pop_15_ans_ou_plus_Retraités_en_2015;Population_en_2010;Pop_0_14_ans_en_2010;Pop_15_29_ans_en_2010;Pop_30_44_ans_en_2010;Pop_45_59_ans_en_2010;Pop_60_74_ans_en_2010;Pop_Hommes_en_2010;Pop_Femmes_en_2010;Pop_15_ans_ou_plus_Retraités__en_2010;Chômeurs_15_64_ans_en_2021;Chômeurs_15_64_ans_en_2015;Chômeurs_15_64_ans_en_2010;Salaire_net_horaire_moyen_en_2021
44149;4036.0;941.9461180954;616.952277686632;914.828342338292;792.447743882011;542.483353319303;202.050886031949;25.2912786464137;2079.37480160901;1956.62519839099;698.922135744617;3814.0;945.934476580496;564.241617609419;878.576913232659;708.718710007678;494.931661121065;203.04888661377;18.5477348349117;1927.98822626056;1886.01177373944;668.694650627079;3537.0;894.829658973263;504.627358297271;874.572440443837;636.387747562742;408.459330704004;1784.77644049332;1752.22355950668;641.878739932223;103.968003066871;138.619912976708;130.681899147878;14.3495563062867
44150;3986.0;815.607528649445;528.089626376748;790.63527340949;823.938748009972;769.191408673169;244.236005079506;14.3014098016695;2039.91580318608;1946.08419681392;912.580996532284;3879.0;777.823179842424;566.322006461731;745.640609331954;935.278759901986;673.34471737188;170.128625448834;10.4621016411928;1941.0368672538;1937.9631327462;785.407728352483;3506.0;677.573859896564;607.27127409497;637.496191819463;926.587870239777;486.901269393513;1762.84456981664;1743.15543018336;645.267136812414;102.636372969939;165.666008255139;123.954866008462;15.2068523730836
44151;6881.0;1353.54940769505;934.835036477368;1315.15029354583;1533.89844738069;1197.41942361024;502.588228524509;43.5591627663197;3410.46699475142;3470.53300524858;1591.99513750505;6197.0;1403.8253123202;867.730349845305;1318.71534564991;1272.73639813838;1029.54449007945;277.374640069589;27.0734638971681;3105.57572633155;3091.42427366845;1300.41965481054;5336.0;1313.45420353983;683.956531689232;1205.56685750679;1088.77138198479;841.333485994306;2695.22435723447;2640.77564276553;1025.42468339658;203.728401853082;267.069205758476;170.244252455803;16.3373397499053
44152;2996.0;714.026609167875;404.894725027162;712.960980892157;550.51455914511;438.26740990165;161.731012758531;13.6047031075148;1447.61996904892;1548.38003095108;499.417249494213;2922.0;803.572835191978;376.739753792198;727.736849993509;469.427395905463;411.926496396702;122.560215803502;10.0364529166466;1442.81562259917;1479.18437740083;507.219381568566;2588.0;627.237180185362;408.957895992198;595.461570370784;486.88434393305;349.531707960358;1298.62506497725;1289.37493502275;471.50904886148;110.392888544922;130.179850656455;89.176711415106;14.2822112585906
44153;1740.0;379.457463347983;249.296736825834;342.758175314544;354.543200675652;287.891600846691;118.978363436731;7.07445955256452;854.302915190099;885.697084809901;372.653573443337;1765.0;406.0;260.0;353.0;357.0;247.0;129.0;13.0;848.0;917.0;335.0;1615.0;366.0;251.0;327.0;335.0;202.0;792.0;823.0;364.0;76.9662357999107;101.0;88.0;
44154;14411.0;1887.7348552406;1621.98729488258;2012.19742065361;3196.80913997823;3800.24632626805;1700.05960709812;191.965355878805;6934.9532544098;7476.0467455902;4962.61062662893;13492.0;2064.7919560488;1629.0275979359;2254.45303558477;2858.13260345176;3020.52260922922;1434.58174231844;230.4904554311;6520.03354432517;6971.96645567483;4322.87686183199;12248.0;1972.55712638992;1677.5419518337;2277.40182412864;2568.08931259802;2335.19287734658;5849.48492020498;6398.51507979502;3680.55968538952;522.101338274451;637.97393621998;507.969565253484;16.1602030693949
44155;3485.0;824.673528860174;630.734737359392;767.583102954152;681.561356421881;442.587712371656;125.160523426;12.6990386067456;1778.75356648441;1706.24643351559;530.598218960428;3316.0;877.522523388163;519.38681765472;878.059694615095;538.529639976918;359.666154097678;135.745289678868;7.08988058855487;1708.69499133044;1607.30500866956;453.786844969646;3129.0;834.814882940435;525.17930168684;826.261652471609;512.745510484185;280.60789009914;1598.69837620823;1530.30162379177;459.53399840116;124.579588438707;145.033995188838;112.015597675793;14.0231576865848
44156;3152.0;769.642645017307;430.507839543521;736.332167908402;573.658354359128;407.054631786581;202.483580410951;32.320780974112;1645.6033174179;1506.3966825821;545.569285400059;2825.0;676.371823295655;410.168537222012;663.002659530086;535.710190234304;314.452258885106;208.252789581715;17.0417412511185;1449.33000324222;1375.66999675777;535.742261630238;2553.00000000001;523.149459161383;374.180749589948;597.861799958541;508.97615064189;279.32923081432;1300.10221442785;1252.89778557215;545.059281396785;102.735288392883;110.915310724252;69.1458574489708;13.3860399670345
44157;1742.0;439.526420249208;258.660268393639;385.572093082039;302.466139803022;256.381511930207;87.2234848459578;12.1700816959267;894.240659997722;847.759340002278;299.047752205645;1680.0;459.0;240.0;409.0;270.0;181.0;115.0;6.0;838.0;842.0;325.0;1483.0;374.0;257.0;342.0;240.0;150.0;752.0;731.0;244.0;80.8371232387341;99.0;60.0;
44158;7658.0;1635.46322296515;1052.92450896704;1613.81164468171;1525.54750731909;1277.47123885337;467.730991931223;85.050885282423;3775.15366681377;3882.84633318623;1623.76699452902;6840.0;1383.39507223712;1095.04494468739;1258.51797404553;1542.66555636144;1023.52794855811;485.335856522939;51.5126475874622;3352.57970426563;3487.42029573437;1382.34157771331;6611.0;1376.54716328536;1032.58469594997;1317.97955986964;1520.58585564213;889.743788621052;3265.8844124673;3345.1155875327;1418.8922718887;227.542084008801;259.585707748875;169.696137266021;17.3900306614617
